	Title	Movie Url	Year	Certificate	Genre	Runtime	Metascore	Rating	Description	Director	Stars	Votes	Gross	Movie Poster
0	The Godfather	https://www.imdb.com/title/tt0068646/	1972	M18	['Crime', ' Drama']	175.0	100.0	9.2	The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.	Francis Ford Coppola	['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']	1894039.0	134970000.0	https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg
1	The Godfather Part II	https://www.imdb.com/title/tt0071562/	1974	PG	['Crime', ' Drama']	202.0	90.0	9.0	The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.	Francis Ford Coppola	['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']	1291787.0	57300000.0	https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR3,0,140,209_AL_.jpg
2	Ordinary People	https://www.imdb.com/title/tt0081283/	1980	PG	['Drama']	124.0	86.0	7.7	The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son.	Robert Redford	['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']	54024.0	54800000.0	https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
3	Lawrence of Arabia	https://www.imdb.com/title/tt0056172/	1962	PG	['Adventure', ' Biography', ' Drama']	218.0	100.0	8.3	The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.	David Lean	"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"	299317.0	44820000.0	https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY209_CR2,0,140,209_AL_.jpg
4	Straw Dogs	https://www.imdb.com/title/tt0067800/	1971	M18	['Crime', ' Drama', ' Thriller']	113.0	73.0	7.4	A young American and his English wife come to rural England and face increasingly vicious local harassment.	Sam Peckinpah	['Dustin Hoffman', 'Susan George', 'Peter Vaughan', 'T.P. McKenna']	61994.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BNDBiZGJmY2EtZTNhYi00NTM2LWE2NjQtZTAyN2RlNDM4NjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR1,0,140,209_AL_.jpg
5	Close Encounters of the Third Kind	https://www.imdb.com/title/tt0075860/	1977	PG	['Drama', ' Sci-Fi']	138.0	90.0	7.6	Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.	Steven Spielberg	['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon']	207157.0	132090000.0	https://m.media-amazon.com/images/M/MV5BMjM1NjE5NjQxN15BMl5BanBnXkFtZTgwMjYzMzQxMDE@._V1_UY209_CR0,0,140,209_AL_.jpg
6	Once Upon a Time in the West	https://www.imdb.com/title/tt0064116/	1968	PG	['Western']	165.0	82.0	8.5	A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.	Sergio Leone	['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']	335101.0	5320000.0	https://m.media-amazon.com/images/M/MV5BODQ3NDExOGYtMzI3Mi00NWRlLTkwNjAtNjc4MDgzZGJiZTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
7	The Dirty Dozen	https://www.imdb.com/title/tt0061578/	1967	PG13	['Action', ' Adventure', ' War']	150.0	73.0	7.7	During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.	Robert Aldrich	['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'John Cassavetes']	75687.0	45300000.0	https://m.media-amazon.com/images/M/MV5BM2Y1ZTI0NzktYzU3MS00YmE1LThkY2EtMDc0NGYxNTNlZDA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg
8	Rosemary's Baby	https://www.imdb.com/title/tt0063522/	1968	M18	['Drama', ' Horror']	137.0	96.0	8.0	A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.	Roman Polanski	['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']	222110.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BMTA5NWQwMmYtZjEyYS00Nzc2LTgwZjAtNTQ4NmFmZjNkNjg4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
9	Cabaret	https://www.imdb.com/title/tt0068327/	1972	PG	['Drama', ' Music', ' Musical']	124.0	80.0	7.8	A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.	Bob Fosse	['Liza Minnelli', 'Michael York', 'Helmut Griem', 'Joel Grey']	56764.0	42770000.0	https://m.media-amazon.com/images/M/MV5BYzEzZWU3ZTctMGRmZi00YTBiLThhN2UtNzRmNjI5ZGRhOTJlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
10	Psycho	https://www.imdb.com/title/tt0054215/	1960	PG	['Horror', ' Mystery', ' Thriller']	109.0	97.0	8.5	A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.	Alfred Hitchcock	['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']	682587.0	32000000.0	https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY209_CR0,0,140,209_AL_.jpg
11	Rebecca	https://www.imdb.com/title/tt0032976/	1940	PG	['Drama', ' Film-Noir', ' Mystery']	130.0	86.0	8.1	A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.	Alfred Hitchcock	['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']	140040.0	4360000.0	https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR3,0,140,209_AL_.jpg
12	Notorious	https://www.imdb.com/title/tt0038787/	1946	PG	['Drama', ' Film-Noir', ' Romance']	102.0	100.0	7.9	The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?	Alfred Hitchcock	['Cary Grant', 'Ingrid Bergman', 'Claude Rains', 'Louis Calhern']	103172.0	10460000.0	https://m.media-amazon.com/images/M/MV5BYTc1NGViOTMtNjZhNS00OGY2LWI4MmItOWQwNTY4MDMzNWI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
13	The Bridge on the River Kwai	https://www.imdb.com/title/tt0050212/	1957	PG	['Adventure', ' Drama', ' War']	161.0	87.0	8.2	British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.	David Lean	['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']	224489.0	44910000.0	https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX140_CR0,0,140,209_AL_.jpg
14	Doctor Zhivago	https://www.imdb.com/title/tt0059113/	1965	PG13	['Drama', ' Romance', ' War']	197.0	69.0	7.9	The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.	David Lean	['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger']	78933.0	111720000.0	https://m.media-amazon.com/images/M/MV5BNzdmZTk4MTktZmExNi00OWEwLTgxZDctNTE4NWMwNjc1Nzg2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
15	Il buono, il brutto, il cattivo	https://www.imdb.com/title/tt0060196/	1966	PG	['Adventure', ' Western']	161.0	90.0	8.8	A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.	Sergio Leone	['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']	772490.0	6100000.0	https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
16	Roman Holiday	https://www.imdb.com/title/tt0046250/	1953	Unrated	['Comedy', ' Romance']	118.0	78.0	8.0	A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.	William Wyler	['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert', 'Hartley Power']	141632.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BMTE2MDM4MTMtZmNkZC00Y2QyLWE0YjUtMTAxZGJmODMxMDM0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR0,0,140,209_AL_.jpg
17	Rope	https://www.imdb.com/title/tt0040746/	1948	PG	['Crime', ' Drama', ' Mystery']	80.0	73.0	7.9	Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.	Alfred Hitchcock	['James Stewart', 'John Dall', 'Farley Granger', 'Dick Hogan']	146980.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BYWFjMDNlYzItY2VlMS00ZTRkLWJjYTEtYjI5NmFlMGE3MzQ2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
18	Charade	https://www.imdb.com/title/tt0056923/	1963	PG	['Comedy', ' Mystery', ' Romance']	113.0	83.0	7.9	Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?	Stanley Donen	['Cary Grant', 'Audrey Hepburn', 'Walter Matthau', 'James Coburn']	80477.0	13470000.0	https://m.media-amazon.com/images/M/MV5BMTA0Y2UyMDUtZGZiOS00ZmVkLTg3NmItODQyNTY1ZjU1MWE4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
19	The Conversation	https://www.imdb.com/title/tt0071360/	1974	PG	['Drama', ' Mystery', ' Thriller']	113.0	87.0	7.8	A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.	Francis Ford Coppola	['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest']	115038.0	4420000.0	https://m.media-amazon.com/images/M/MV5BNzAwZWRhZTEtOWYwMi00YzQ5LWE1MzQtM2JlZWE0Y2E4ZDg3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
20	Vertigo	https://www.imdb.com/title/tt0052357/	1958	PG	['Mystery', ' Romance', ' Thriller']	128.0	100.0	8.3	A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.	Alfred Hitchcock	['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']	408657.0	3200000.0	https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
21	The Blue Lagoon	https://www.imdb.com/title/tt0080453/	1980	M18	['Adventure', ' Drama', ' Romance']	104.0	31.0	5.8	In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.	Randal Kleiser	['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels']	72903.0	58850000.0	https://m.media-amazon.com/images/M/MV5BOWU2ZDIxY2UtNzM5NS00MWUwLTkxN2QtMmI3NDZkNTA2OTYxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg
22	Marnie	https://www.imdb.com/title/tt0058329/	1964	PG	['Crime', ' Drama', ' Mystery']	130.0	73.0	7.1	Mark marries Marnie although she is a habitual thief and has serious psychological problems, and tries to help her confront and resolve them.	Alfred Hitchcock	['Tippi Hedren', 'Sean Connery', 'Martin Gabel', 'Louise Latham']	51161.0	7000000.0	https://m.media-amazon.com/images/M/MV5BMTEwMzhiMDktMzFlMi00NTE1LTlkOTItZWI5ODA2Y2E5YjUzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg
23	Deliverance	https://www.imdb.com/title/tt0068473/	1972	M18	['Adventure', ' Drama', ' Thriller']	109.0	80.0	7.7	Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.	John Boorman	['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox']	113059.0	7060000.0	https://m.media-amazon.com/images/M/MV5BNTFjOWQxYWMtMzNkZC00ZTEzLWJkOTgtYWZiOGYyOGVlZjVmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
24	Saturday Night Fever	https://www.imdb.com/title/tt0076666/	1977	M18	['Drama', ' Music']	118.0	77.0	6.8	Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco.	John Badham	['John Travolta', 'Karen Lynn Gorney', 'Barry Miller', 'Joseph Cali']	82924.0	94210000.0	https://m.media-amazon.com/images/M/MV5BOWU0NjZhMWEtMWU2Zi00NTgwLWI1OTQtNDJlNDAyNzdlZjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
25	Friday the 13th	https://www.imdb.com/title/tt0080761/	1980	M18	['Horror', ' Mystery', ' Thriller']	95.0	22.0	6.4	A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer.	Sean S. Cunningham	['Betsy Palmer', 'Adrienne King', 'Jeannine Taylor', 'Robbi Morgan']	145226.0	39750000.0	https://m.media-amazon.com/images/M/MV5BNWMxYTYzYWQtNGZmNy00MTg5LTk1N2MtNzQ5NjQxYjQ5NTJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
26	Dog Day Afternoon	https://www.imdb.com/title/tt0072890/	1975	PG	['Biography', ' Crime', ' Drama']	125.0	86.0	8.0	Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.	Sidney Lumet	['Al Pacino', 'John Cazale', 'Penelope Allen', 'Sully Boyar']	262050.0	50000000.0	https://m.media-amazon.com/images/M/MV5BODExZmE2ZWItYTIzOC00MzI1LTgyNTktMDBhNmFhY2Y4OTQ3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg
27	Rear Window	https://www.imdb.com/title/tt0047396/	1954	PG	['Mystery', ' Thriller']	112.0	100.0	8.5	A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.	Alfred Hitchcock	['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']	499091.0	36760000.0	https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR1,0,140,209_AL_.jpg
28	Fahrenheit 451	https://www.imdb.com/title/tt0060390/	1966	PG	['Drama', ' Sci-Fi']	112.0	60.53288543140028	7.2	In an oppressive future, a fireman whose duty is to destroy all books begins to question his task.	François Truffaut	['Oskar Werner', 'Julie Christie', 'Cyril Cusack', 'Anton Diffring']	44264.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BMTgwZWRmNTItMjQ5ZS00NDhkLTkxZWEtOTA2YWQ0MWVmYzYxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg
29	It's a Mad Mad Mad Mad World	https://www.imdb.com/title/tt0057193/	1963	PG	['Action', ' Adventure', ' Comedy']	210.0	59.0	7.5	A group of motorists witnesses a car crash in the California desert, and after the driver's dying words indicate the location of a hidden stash of loot, they turn against each in a race across the state to get to it.	Stanley Kramer	['Spencer Tracy', 'Milton Berle', 'Ethel Merman', 'Mickey Rooney']	43435.0	46300000.0	https://m.media-amazon.com/images/M/MV5BN2YyYjUzYmMtZDNmMy00ODRmLWExOTYtMzg5NzQ5NzZhNjA1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
30	My Fair Lady	https://www.imdb.com/title/tt0058385/	1964	G	['Drama', ' Family', ' Musical']	170.0	95.0	7.8	In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.	George Cukor	['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']	97912.0	72000000.0	https://m.media-amazon.com/images/M/MV5BNGM0ZTU3NmItZmRmMy00YWNjLWEzMWItYzg3MzcwZmM5NjdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY209_CR6,0,140,209_AL_.jpg
31	Alien	https://www.imdb.com/title/tt0078748/	1979	PG	['Horror', ' Sci-Fi']	117.0	89.0	8.5	The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.	Ridley Scott	['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']	896984.0	78900000.0	https://m.media-amazon.com/images/M/MV5BOGQzZTBjMjQtOTVmMS00NGE5LWEyYmMtOGQ1ZGZjNmRkYjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
32	Star Wars	https://www.imdb.com/title/tt0076759/	1977	PG	['Action', ' Adventure', ' Fantasy']	121.0	90.0	8.6	Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.	George Lucas	['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']	1384092.0	322740000.0	https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_UX140_CR0,0,140,209_AL_.jpg
33	The Empire Strikes Back	https://www.imdb.com/title/tt0080684/	1980	PG	['Action', ' Adventure', ' Fantasy']	124.0	82.0	8.7	After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.	Irvin Kershner	['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']	1311712.0	290480000.0	https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
34	Carrie	https://www.imdb.com/title/tt0074285/	1976	M18	['Horror', ' Mystery']	98.0	86.0	7.4	Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.	Brian De Palma	['Sissy Spacek', 'Piper Laurie', 'Amy Irving', 'John Travolta']	193381.0	33800000.0	https://m.media-amazon.com/images/M/MV5BMTlhNmVkZGUtNjdjOC00YWY3LTljZWQtMTY1YWFhNGYwNDQwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
35	The Hustler	https://www.imdb.com/title/tt0054997/	1961	PG	['Drama', ' Sport']	134.0	90.0	8.0	An up-and-coming pool player plays a long-time champion in a single high-stakes match.	Robert Rossen	['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']	83802.0	8279999.999999999	https://m.media-amazon.com/images/M/MV5BNTAwNGNlYWEtNDJlOC00NTE5LWJjNmQtMjExZDU2NDUyZTFlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
36	12 Angry Men	https://www.imdb.com/title/tt0050083/	1957	PG	['Crime', ' Drama']	96.0	97.0	9.0	The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.	Sidney Lumet	['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']	805729.0	4360000.0	https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
37	Citizen Kane	https://www.imdb.com/title/tt0033467/	1941	PG	['Drama', ' Mystery']	119.0	100.0	8.3	Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'	Orson Welles	['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']	448135.0	1590000.0	https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
38	The Third Man	https://www.imdb.com/title/tt0041959/	1949	PG	['Film-Noir', ' Mystery', ' Thriller']	104.0	97.0	8.1	Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.	Carol Reed	['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']	174547.0	450000.0	https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
39	Oliver!	https://www.imdb.com/title/tt0063385/	1968	PG	['Drama', ' Family', ' Musical']	153.0	74.0	7.4	After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.	Carol Reed	['Mark Lester', 'Ron Moody', 'Shani Wallis', 'Oliver Reed']	39770.0	16800000.0	https://m.media-amazon.com/images/M/MV5BNWQwNTE4NWQtZDg0MC00ZDhkLWIzMzQtNDU1MDIxZTNmM2M3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX140_CR0,0,140,209_AL_.jpg
40	Apocalypse Now	https://www.imdb.com/title/tt0078788/	1979	PG	['Drama', ' Mystery', ' War']	147.0	94.0	8.5	A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.	Francis Ford Coppola	['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']	678064.0	83470000.0	https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
41	Dial M for Murder	https://www.imdb.com/title/tt0046912/	1954	PG	['Crime', ' Thriller']	105.0	75.0	8.2	A former tennis star arranges the murder of his adulterous wife.	Alfred Hitchcock	['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']	179418.0	10000.0	https://m.media-amazon.com/images/M/MV5BOWIwODIxYWItZDI4MS00YzhhLWE3MmYtMzlhZDIwOTMzZmE5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg
42	It's a Wonderful Life	https://www.imdb.com/title/tt0038650/	1946	PG	['Drama', ' Family', ' Fantasy']	130.0	89.0	8.6	An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.	Frank Capra	['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']	469459.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY209_CR2,0,140,209_AL_.jpg
43	To Kill a Mockingbird	https://www.imdb.com/title/tt0056592/	1962	PG	['Crime', ' Drama']	129.0	88.0	8.3	Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.	Robert Mulligan	['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']	320714.0	65274579.405366205	https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
44	All About Eve	https://www.imdb.com/title/tt0042192/	1950	PG	['Drama']	138.0	98.0	8.2	A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.	Joseph L. Mankiewicz	['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']	133374.0	10000.0	https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_UX140_CR0,0,140,209_AL_.jpg
45	The Ten Commandments	https://www.imdb.com/title/tt0049833/	1956	PG	['Adventure', ' Drama', ' Family']	220.0	60.53288543140028	7.9	Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.	Cecil B. DeMille	['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']	73166.0	93740000.0	https://m.media-amazon.com/images/M/MV5BODcxYjUxZDgtYTQ5Zi00YmQ1LWJmZmItODZkOTYyNDhiNWM3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY209_CR0,0,140,209_AL_.jpg
