	Title	Movie Url	Year	Certificate	Genre	Runtime	Metascore	Rating	Description	Director	Stars	Votes	Gross	Movie Poster
501	Basic Instinct	https://www.imdb.com/title/tt0103772/	1992	R21	['Drama', ' Mystery', ' Thriller']	127.0	43.0	7.0	A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.	Paul Verhoeven	['Michael Douglas', 'Sharon Stone', 'George Dzundza', 'Jeanne Tripplehorn']	206492.0	117730000.0	https://m.media-amazon.com/images/M/MV5BZjk0YmJkNjItNDY3Mi00ZWFiLWEwY2EtMDJlZWJlOWZkNzJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg
502	Hellraiser	https://www.imdb.com/title/tt0093177/	1987	R21	['Horror', ' Thriller']	94.0	56.0	6.9	A woman discovers the newly resurrected, partially formed, body of her brother-in-law. She starts killing for him to revitalize his body so he can escape the demonic beings that are pursuing him after he escaped their sadistic underworld.	Clive Barker	['Andrew Robinson', 'Clare Higgins', 'Ashley Laurence', 'Sean Chapman']	131526.0	14560000.0	https://m.media-amazon.com/images/M/MV5BOGRlZTdhOGYtODc5NS00YmJkLTkzN2UtZDMyYmRhZWM1NTQwXkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_UX140_CR0,0,140,209_AL_.jpg
503	Licence to Kill	https://www.imdb.com/title/tt0097742/	1989	PG	['Action', ' Adventure', ' Thriller']	133.0	58.0	6.6	A vengeful James Bond goes rogue to infiltrate and take down the organization of a drug lord who has murdered his friend's new wife and left him near death.	John Glen	['Timothy Dalton', 'Robert Davi', 'Carey Lowell', 'Talisa Soto']	107466.0	34670000.0	https://m.media-amazon.com/images/M/MV5BMjA2ODZjOWEtMWJjNy00MWYzLTk0MGItMmE5ODBlYjI4MDY3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
504	Body Double	https://www.imdb.com/title/tt0086984/	1984	PG	['Crime', ' Drama', ' Mystery']	114.0	69.0	6.8	A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.	Brian De Palma	['Craig Wasson', 'Melanie Griffith', 'Gregg Henry', 'Deborah Shelton']	35240.0	8800000.0	https://m.media-amazon.com/images/M/MV5BOTBmM2ViMTAtZmUwMi00YjY2LWE0NGQtZGVlMDk4ZTZhZGM4XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX140_CR0,0,140,209_AL_.jpg
505	A View to a Kill	https://www.imdb.com/title/tt0090264/	1985	PG	['Action', ' Adventure', ' Thriller']	131.0	40.0	6.3	The recovery of a microchip off the body of a fellow agent leads James Bond to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.	John Glen	['Roger Moore', 'Christopher Walken', 'Tanya Roberts', 'Grace Jones']	100577.0	50330000.0	https://m.media-amazon.com/images/M/MV5BZmFlNmNjMzYtNWUwNS00MzRmLWJhZDktNWE3MGY3ZjdkOTI2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg
506	La Bamba	https://www.imdb.com/title/tt0093378/	1987	PG	['Biography', ' Drama', ' Music']	108.0	65.0	6.9	Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and The Big Bopper.	Luis Valdez	['Lou Diamond Phillips', 'Esai Morales', 'Rosanna DeSoto', 'Elizabeth Peña']	34708.0	54220000.0	https://m.media-amazon.com/images/M/MV5BOWI0YjE4M2ItNzY2NC00MzA1LWFhZTktY2YxZjE0ODU0ZTc5XkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_UX140_CR0,0,140,209_AL_.jpg
507	Highlander	https://www.imdb.com/title/tt0091203/	1986	M18	['Action', ' Adventure', ' Fantasy']	116.0	24.0	7.1	"An immortal Scottish swordsman must confront the last of his immortal opponent, a murderously brutal barbarian who lusts for the fabled ""Prize""."	Russell Mulcahy	['Christopher Lambert', 'Sean Connery', 'Clancy Brown', 'Roxanne Hart']	139813.0	5900000.0	https://m.media-amazon.com/images/M/MV5BMjc3YmU3MzQtNTA4OC00ZjljLWFmODAtZDU1YzY5ZTNkZDU3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg
508	Wall Street	https://www.imdb.com/title/tt0094291/	1987	NC16	['Crime', ' Drama']	126.0	56.0	7.3	An impatient young stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless, greedy corporate raider who takes the youth under his wing.	Oliver Stone	['Charlie Sheen', 'Michael Douglas', 'Tamara Tunie', 'Franklin Cover']	159237.0	43850000.0	https://m.media-amazon.com/images/M/MV5BNmEyZGQ4NDQtNTEzZC00MDczLWE4ZTEtYTg0ODg2NTkyMWM3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY209_CR0,0,140,209_AL_.jpg
509	Wild at Heart	https://www.imdb.com/title/tt0100935/	1990	M18	['Comedy', ' Crime', ' Drama']	125.0	52.0	7.2	Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.	David Lynch	['Nicolas Cage', 'Laura Dern', 'Willem Dafoe', 'J.E. Freeman']	96212.0	14560000.0	https://m.media-amazon.com/images/M/MV5BODJiNmU0YzgtMGU1MS00M2YzLWI1NDctOGQwYWRiODZkM2YwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg
510	The Outsiders	https://www.imdb.com/title/tt0086066/	1983	NC16	['Crime', ' Drama']	91.0	45.0	7.0	The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other.	Francis Ford Coppola	['C. Thomas Howell', 'Matt Dillon', 'Ralph Macchio', 'Patrick Swayze']	90147.0	25600000.0	https://m.media-amazon.com/images/M/MV5BY2E4Njk4N2UtZWFhOS00NzczLWFmNDgtMzdhMjFlNTZjMmVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg
